 title="zbzh"
 variables ="r","z","T(K)"
* zone t= "chamber",i= 25 , j= 49 , f= point
 25  49 
    0.0020    0.1319   2439.97
    0.0033    0.1319   2440.06
    0.0047    0.1319   2440.20
    0.0060    0.1319   2440.38
    0.0073    0.1319   2440.60
    0.0086    0.1319   2440.86
    0.0097    0.1319   2441.12
    0.0109    0.1319   2441.42
    0.0121    0.1319   2441.75
    0.0133    0.1319   2442.10
    0.0144    0.1319   2442.49
    0.0158    0.1319   2442.98
    0.0175    0.1319   2443.61
    0.0192    0.1319   2444.29
    0.0208    0.1319   2445.00
    0.0225    0.1319   2445.74
    0.0242    0.1319   2446.50
    0.0254    0.1319   2447.06
    0.0261    0.1319   2447.41
    0.0269    0.1319   2447.75
    0.0276    0.1319   2448.10
    0.0286    0.1319   2448.56
    0.0299    0.1319   2449.13
    0.0000    0.1331   2439.34
    0.0007    0.1331   2439.34
    0.0020    0.1331   2439.39
    0.0033    0.1331   2439.48
    0.0047    0.1331   2439.62
    0.0060    0.1331   2439.81
    0.0073    0.1331   2440.03
    0.0086    0.1331   2440.29
    0.0097    0.1331   2440.56
    0.0109    0.1331   2440.86
    0.0121    0.1331   2441.19
    0.0133    0.1331   2441.55
    0.0144    0.1331   2441.93
    0.0158    0.1331   2442.43
    0.0175    0.1331   2443.06
    0.0192    0.1331   2443.74
    0.0208    0.1331   2444.45
    0.0225    0.1331   2445.18
    0.0242    0.1331   2445.93
    0.0254    0.1331   2446.49
    0.0261    0.1331   2446.83
    0.0269    0.1331   2447.18
    0.0276    0.1331   2447.52
    0.0286    0.1331   2447.98
    0.0299    0.1331   2448.54
    0.0000    0.1342   2438.70
    0.0007    0.1342   2438.70
    0.0020    0.1342   2438.74
    0.0033    0.1342   2438.84
    0.0047    0.1342   2438.98
    0.0060    0.1342   2439.17
    0.0073    0.1342   2439.40
    0.0086    0.1342   2439.66
    0.0097    0.1342   2439.93
    0.0109    0.1342   2440.24
    0.0121    0.1342   2440.57
    0.0133    0.1342   2440.93
    0.0144    0.1342   2441.32
    0.0158    0.1342   2441.83
    0.0175    0.1342   2442.46
    0.0192    0.1342   2443.14
    0.0208    0.1342   2443.85
    0.0225    0.1342   2444.59
